#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,pod
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:48Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:49Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:50Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:52Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:53Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:54Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:56Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:57Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:59Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:00Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:01Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:03Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:04Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:05Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:07Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:08Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:09Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:11Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:12Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:13Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
